	consci			relig
4873  A Great Deal              Protestant
4874  A Great Deal              Protestant
4875     Only Some              Protestant
4876  A Great Deal              Protestant
4877  A Great Deal              Protestant
4878          <NA>                    None
4879  A Great Deal                Catholic
4880     Only Some              Protestant
4881          <NA>                Catholic
4882          <NA>                    None
4883          <NA>                Catholic
4884  A Great Deal                Catholic
4885  A Great Deal                    None
4886  A Great Deal                    None
4887          <NA>              Protestant
4888     Only Some              Protestant
4889     Only Some                Catholic
4890    Hardly Any                Catholic
4891     Only Some              Protestant
4892  A Great Deal                    None
4893     Only Some                Catholic
4894     Only Some              Protestant
4895     Only Some              Protestant
4896     Only Some                Catholic
4897  A Great Deal              Protestant
4898  A Great Deal                    <NA>
4899     Only Some                    None
4900     Only Some                Catholic
4901     Only Some                    None
4902     Only Some              Protestant
4903     Only Some              Protestant
4904    Hardly Any              Protestant
4905     Only Some                    None
4906  A Great Deal              Protestant
4907          <NA>                Catholic
4908    Hardly Any                Catholic
4909          <NA>                Catholic
4910     Only Some                Catholic
4911  A Great Deal                Catholic
4912     Only Some                Catholic
4913  A Great Deal              Protestant
4914     Only Some              Protestant
4915     Only Some              Protestant
4916  A Great Deal              Protestant
4917  A Great Deal              Protestant
4918  A Great Deal              Protestant
4919     Only Some              Protestant
4920     Only Some              Protestant
4921  A Great Deal              Protestant
4922     Only Some              Protestant
4923  A Great Deal              Protestant
4924     Only Some              Protestant
4925     Only Some                Catholic
4926  A Great Deal                Catholic
4927     Only Some                Catholic
4928          <NA>              Protestant
4929  A Great Deal              Protestant
4930     Only Some                Catholic
4931  A Great Deal              Protestant
4932    Hardly Any              Protestant
4933  A Great Deal              Protestant
4934  A Great Deal              Protestant
4935  A Great Deal              Protestant
4936     Only Some                Catholic
4937          <NA>                Catholic
4938     Only Some              Protestant
4939  A Great Deal              Protestant
4940     Only Some              Protestant
4941     Only Some              Protestant
4942     Only Some              Protestant
4943  A Great Deal                Catholic
4944     Only Some              Protestant
4945     Only Some              Protestant
4946  A Great Deal              Protestant
4947     Only Some              Protestant
4948     Only Some                Catholic
4949  A Great Deal              Protestant
4950    Hardly Any              Protestant
4951  A Great Deal              Protestant
4952     Only Some              Protestant
4953     Only Some              Protestant
4954          <NA>              Protestant
4955          <NA>                Catholic
4956     Only Some              Protestant
4957          <NA>              Protestant
4958     Only Some              Protestant
4959  A Great Deal              Protestant
4960          <NA>              Protestant
4961     Only Some              Protestant
4962  A Great Deal              Protestant
4963     Only Some                    None
4964    Hardly Any              Protestant
4965          <NA>              Protestant
4966     Only Some              Protestant
4967  A Great Deal              Protestant
4968     Only Some              Protestant
4969  A Great Deal              Protestant
4970     Only Some              Protestant
4971  A Great Deal              Protestant
4972  A Great Deal              Protestant
4973     Only Some              Protestant
4974          <NA>              Protestant
4975  A Great Deal              Protestant
4976     Only Some              Protestant
4977  A Great Deal              Protestant
4978  A Great Deal              Protestant
4979     Only Some              Protestant
4980  A Great Deal              Protestant
4981     Only Some              Protestant
4982    Hardly Any              Protestant
4983  A Great Deal              Protestant
4984    Hardly Any              Protestant
4985    Hardly Any              Protestant
4986  A Great Deal              Protestant
4987     Only Some              Protestant
4988  A Great Deal              Protestant
4989    Hardly Any              Protestant
4990     Only Some              Protestant
4991          <NA>              Protestant
4992     Only Some              Protestant
4993     Only Some              Protestant
4994     Only Some              Protestant
4995     Only Some                Catholic
4996  A Great Deal              Protestant
4997  A Great Deal                Catholic
4998  A Great Deal                Catholic
4999     Only Some              Protestant
5000          <NA>                    None
